time	V(v_osc2)	V(n007)
6.986103463049715e-04	2.934242e-01	-1.360547e+01
6.986666758136180e-04	2.934242e-01	-1.360547e+01
6.986988999318091e-04	2.934242e-01	-1.360547e+01
6.987158948047554e-04	2.934242e-01	-1.360547e+01
6.987273729128433e-04	2.934242e-01	-1.360547e+01
6.987382929196575e-04	2.934242e-01	-1.360547e+01
6.987465111668808e-04	2.934242e-01	-1.360547e+01
6.987520810031605e-04	2.934242e-01	-1.360547e+01
6.987597362001032e-04	2.934242e-01	-1.360547e+01
6.987663057704303e-04	2.934242e-01	-1.360547e+01
6.987699583008014e-04	2.934242e-01	-1.360547e+01
6.987734787573158e-04	2.934242e-01	-1.360547e+01
6.987778010949918e-04	2.934242e-01	-1.360547e+01
6.987817891303847e-04	2.934242e-01	-1.360547e+01
6.987856253920404e-04	2.934242e-01	-1.360547e+01
6.987891073506010e-04	2.934242e-01	-1.360547e+01
6.987926050916549e-04	2.934242e-01	-1.360547e+01
6.987961209841071e-04	2.934242e-01	-1.360547e+01
6.987992406920058e-04	2.934242e-01	-1.360547e+01
6.988026359690879e-04	2.934242e-01	-1.360547e+01
6.988065308387349e-04	2.934242e-01	-1.360547e+01
6.988113329744059e-04	2.934242e-01	-1.360547e+01
6.988176543173184e-04	2.934242e-01	-1.360547e+01
6.988247308887685e-04	2.934242e-01	-1.360547e+01
6.988346167355381e-04	2.934242e-01	-1.360547e+01
6.988474168239230e-04	2.934242e-01	-1.360547e+01
6.988686282090759e-04	2.934242e-01	-1.360547e+01
6.989060204213033e-04	2.934242e-01	-1.360547e+01
6.989808048457584e-04	2.934242e-01	-1.360547e+01
6.991303736946684e-04	2.934242e-01	-1.360547e+01
6.994222036862841e-04	2.934242e-01	-1.360547e+01
6.999630310395563e-04	2.934242e-01	-1.360547e+01
7.004759007697962e-04	2.934242e-01	-1.360547e+01
7.010478926282878e-04	2.934242e-01	-1.360547e+01
7.017178244049109e-04	2.934242e-01	-1.360547e+01
7.027479925554932e-04	2.934242e-01	-1.360547e+01
7.116723302879728e-04	2.934242e-01	-1.360547e+01
7.214781382586899e-04	2.934242e-01	-1.360547e+01
7.410897542001242e-04	2.934242e-01	-1.360547e+01
7.803129860829929e-04	2.934242e-01	-1.360547e+01
8.327543923329929e-04	2.934241e-01	-1.360547e+01
8.851957985829929e-04	2.934241e-01	-1.360547e+01
9.376372048329929e-04	2.934241e-01	-1.360548e+01
9.900786110829929e-04	2.934241e-01	-1.360548e+01
1.042520017332993e-03	2.934241e-01	-1.360548e+01
1.094961423582993e-03	2.934241e-01	-1.360548e+01
1.147402829832993e-03	2.934241e-01	-1.360548e+01
1.199844236082993e-03	2.934241e-01	-1.360549e+01
1.304727048582993e-03	2.934241e-01	-1.360549e+01
1.424593120011565e-03	2.934241e-01	-1.360550e+01
1.544459191440137e-03	2.934241e-01	-1.360550e+01
1.664325262868708e-03	2.934241e-01	-1.360550e+01
1.784191334297280e-03	2.934241e-01	-1.360551e+01
1.904057405725852e-03	2.934241e-01	-1.360551e+01
2.023923477154423e-03	2.934241e-01	-1.360552e+01
2.143789548582995e-03	2.934241e-01	-1.360552e+01
2.181247695904423e-03	2.934241e-01	-1.360552e+01
2.218705843225852e-03	2.934241e-01	-1.360552e+01
2.256163990547281e-03	2.934241e-01	-1.360552e+01
2.293622137868709e-03	2.934241e-01	-1.360552e+01
2.331080285190138e-03	2.934241e-01	-1.360553e+01
2.368538432511566e-03	2.934241e-01	-1.360553e+01
2.405996579832995e-03	2.934241e-01	-1.360553e+01
2.458437986082995e-03	2.934241e-01	-1.360553e+01
2.510879392332995e-03	2.934241e-01	-1.360553e+01
2.515950700473596e-03	2.934241e-01	-1.360553e+01
2.526093316754798e-03	2.934241e-01	-1.360553e+01
2.535398174539476e-03	2.934241e-01	-1.360553e+01
2.548190576764733e-03	2.934241e-01	-1.360553e+01
2.559804476345596e-03	2.934241e-01	-1.360553e+01
2.571023254199614e-03	2.934241e-01	-1.360553e+01
2.588942107454063e-03	2.934241e-01	-1.360553e+01
2.613249195828356e-03	2.934241e-01	-1.360553e+01
2.642280184250795e-03	2.934241e-01	-1.360554e+01
2.676195028584805e-03	2.934241e-01	-1.360554e+01
2.697869143629230e-03	2.934241e-01	-1.360554e+01
2.721062110367426e-03	2.934241e-01	-1.360554e+01
2.744517631694972e-03	2.934241e-01	-1.360554e+01
2.763370502004220e-03	2.934241e-01	-1.360554e+01
2.783162461933184e-03	2.934241e-01	-1.360554e+01
2.808455199477308e-03	2.934241e-01	-1.360554e+01
2.829955060817171e-03	2.934241e-01	-1.360554e+01
2.855193424315623e-03	2.934241e-01	-1.360554e+01
2.880770781918984e-03	2.934241e-01	-1.360554e+01
2.901496297155082e-03	2.934241e-01	-1.360554e+01
2.926690567307128e-03	2.934241e-01	-1.360554e+01
2.951862701589330e-03	2.934241e-01	-1.360554e+01
2.978370505515290e-03	2.934241e-01	-1.360554e+01
3.006813935817265e-03	2.934241e-01	-1.360555e+01
