time	V(integrateur)	V(osc_1)	V(out)
1.477264913962578e-04	5.817166e+00	1.347668e+01	1.308518e+01
1.477363324279557e-04	5.782230e+00	1.347668e+01	1.309709e+01
1.477519175936710e-04	5.725306e+00	1.347668e+01	1.309474e+01
1.477701345670452e-04	5.666794e+00	1.347668e+01	1.308659e+01
1.477896748626698e-04	5.619303e+00	1.347668e+01	1.307840e+01
1.478083693356811e-04	5.589990e+00	1.347668e+01	1.307288e+01
1.478283647849878e-04	5.573349e+00	1.347668e+01	1.306948e+01
1.478514361303550e-04	5.565172e+00	1.347668e+01	1.306766e+01
1.478642968728988e-04	5.563919e+00	1.347668e+01	1.306735e+01
1.478722655874429e-04	5.564089e+00	1.347668e+01	1.306739e+01
1.478824407719521e-04	5.564628e+00	1.347668e+01	1.306754e+01
1.478920710850685e-04	5.565162e+00	1.347668e+01	1.306773e+01
1.479023718019105e-04	5.565601e+00	1.347668e+01	1.306795e+01
1.479132963990229e-04	5.565797e+00	1.347668e+01	1.306817e+01
1.479244892438267e-04	5.565636e+00	1.347668e+01	1.306834e+01
1.479372758460881e-04	5.564969e+00	1.347668e+01	1.306848e+01
1.479534754547773e-04	5.563448e+00	1.347668e+01	1.306854e+01
1.479779596925187e-04	5.560123e+00	1.347668e+01	1.306844e+01
1.480193208564604e-04	5.553271e+00	1.347668e+01	1.306803e+01
1.480544510283309e-04	5.547032e+00	1.347668e+01	1.306758e+01
1.480971650166234e-04	5.539481e+00	1.347668e+01	1.306701e+01
1.481357732247453e-04	5.532873e+00	1.347668e+01	1.306653e+01
1.482006074464276e-04	5.521982e+00	1.347668e+01	1.306576e+01
1.482886655119527e-04	5.507204e+00	1.347667e+01	1.306472e+01
1.483891024924768e-04	5.490307e+00	1.347667e+01	1.306353e+01
1.485652667341259e-04	5.460669e+00	1.347667e+01	1.306144e+01
1.488469540863249e-04	5.413318e+00	1.347667e+01	1.305811e+01
1.494103287907212e-04	5.318691e+00	1.347666e+01	1.305144e+01
1.499594079992939e-04	5.226575e+00	1.347666e+01	1.304496e+01
1.507818437425593e-04	5.088809e+00	1.347665e+01	1.303525e+01
1.534529221759329e-04	4.643270e+00	1.347663e+01	1.300387e+01
1.584929221759342e-04	3.809032e+00	1.347659e+01	1.294511e+01
1.631283387712717e-04	3.048938e+00	1.347655e+01	1.289158e+01
1.631401442317177e-04	3.047013e+00	1.347655e+01	1.289144e+01
1.631637551526097e-04	3.043163e+00	1.347655e+01	1.289117e+01
1.631881817176547e-04	3.039181e+00	1.347655e+01	1.289089e+01
1.632123878036584e-04	3.035235e+00	1.347655e+01	1.289061e+01
1.632442556934385e-04	3.030040e+00	1.347655e+01	1.289025e+01
1.632829552623092e-04	3.023731e+00	1.347655e+01	1.288980e+01
1.632841646238368e-04	3.023535e+00	1.347655e+01	1.288979e+01
1.632865833468920e-04	3.023140e+00	1.347655e+01	1.288976e+01
1.632914207930006e-04	3.022346e+00	1.347655e+01	1.288941e+01
1.633010956852178e-04	3.018712e+00	1.347655e+01	1.276613e+01
1.633079653757721e-04	2.999391e+00	1.347655e+01	1.162574e+01
1.633113248374167e-04	2.953049e+00	1.347655e+01	8.765109e+00
1.633137081109032e-04	2.882060e+00	1.347655e+01	4.474521e+00
1.633149268560063e-04	2.838618e+00	1.347655e+01	2.029032e+00
1.633155053987478e-04	2.822738e+00	1.347655e+01	1.284547e+00
1.633162282877361e-04	2.809562e+00	1.347655e+01	8.532233e-01
1.633167386061920e-04	2.802269e+00	1.347655e+01	6.832823e-01
1.633173237096056e-04	2.795239e+00	1.347655e+01	5.659750e-01
1.633179642266218e-04	2.788513e+00	1.347655e+01	4.810139e-01
1.633189710476407e-04	2.779365e+00	1.347655e+01	3.984241e-01
1.633200434856784e-04	2.771095e+00	1.347655e+01	3.491301e-01
1.633214189244482e-04	2.762419e+00	1.347655e+01	3.224141e-01
1.633230284632074e-04	2.754441e+00	1.347655e+01	3.145351e-01
1.633250552180703e-04	2.746910e+00	1.347655e+01	3.139176e-01
1.633269277544029e-04	2.742440e+00	1.347655e+01	3.137908e-01
1.633306728270698e-04	2.739702e+00	1.347655e+01	3.135936e-01
1.633381629724019e-04	2.747410e+00	1.347655e+01	3.133800e-01
1.633480065258118e-04	2.773006e+00	1.347655e+01	3.132699e-01
1.633597536482619e-04	2.815488e+00	1.347655e+01	3.132773e-01
1.633743265962162e-04	2.871686e+00	1.347655e+01	3.133578e-01
1.633932957186141e-04	2.937399e+00	1.347655e+01	3.134809e-01
1.634114739960096e-04	2.986064e+00	1.347655e+01	3.135795e-01
