time	V(oscillateur_2)	V(n003)
1.090930468949239e-04	3.184416e-01	2.985000e+00
1.090947431235846e-04	3.138868e-01	2.977567e+00
1.090965692593095e-04	3.137318e-01	2.971663e+00
1.090989438138417e-04	3.135920e-01	2.967171e+00
1.091036929229062e-04	3.133928e-01	2.966174e+00
1.091131911410351e-04	3.131940e-01	2.980020e+00
1.091226913306573e-04	3.131360e-01	3.006563e+00
1.091360966773020e-04	3.131751e-01	3.053987e+00
1.091510558882162e-04	3.132610e-01	3.107109e+00
1.091674213357810e-04	3.133579e-01	3.157291e+00
1.091869313868737e-04	3.134499e-01	3.202393e+00
1.092056251500901e-04	3.135088e-01	3.230548e+00
1.092266454938220e-04	3.135441e-01	3.247584e+00
1.092505611352268e-04	3.135604e-01	3.256365e+00
1.092627093539952e-04	3.135635e-01	3.257982e+00
1.092700592985864e-04	3.135623e-01	3.258204e+00
1.092786712360155e-04	3.135603e-01	3.258256e+00
1.092880413295093e-04	3.135586e-01	3.258302e+00
1.092982669991203e-04	3.135563e-01	3.258473e+00
1.093088279714163e-04	3.135547e-01	3.258889e+00
1.093204658620988e-04	3.135530e-01	3.259727e+00
1.093363477678395e-04	3.135528e-01	3.261506e+00
1.093570377034556e-04	3.135536e-01	3.264742e+00
1.093872434665661e-04	3.135581e-01	3.270671e+00
1.094269550965226e-04	3.135658e-01	3.279415e+00
1.094662180846823e-04	3.135742e-01	3.288314e+00
1.095112291099196e-04	3.135836e-01	3.298349e+00
1.095606292528022e-04	3.135935e-01	3.309132e+00
1.097715946048163e-04	3.136348e-01	3.354910e+00
1.198762924812500e-04	3.156192e-01	5.550422e+00
1.199814957807437e-04	4.440390e-01	5.575535e+00
1.200354595143344e-04	7.142656e-01	5.591982e+00
1.200358950988200e-04	7.303020e-01	5.592323e+00
1.200367662677912e-04	7.981747e-01	5.593559e+00
1.200385086057336e-04	9.903423e-01	5.597062e+00
1.200419932816184e-04	1.555444e+00	5.607512e+00
1.200454967997735e-04	2.418703e+00	5.623713e+00
1.200491851069925e-04	3.723567e+00	5.648752e+00
1.200530557000517e-04	5.422925e+00	5.682778e+00
1.200584267226736e-04	7.795897e+00	5.733572e+00
