time	V(v_controle)	V(v_integrateur)
1.078149963159696e-02	2.848885e-01	2.030615e-01
1.078210724826920e-02	2.848885e-01	2.036457e-01
1.078271486494143e-02	2.848885e-01	2.042299e-01
1.078332248161367e-02	2.848885e-01	2.048142e-01
1.078393009828591e-02	2.848885e-01	2.053984e-01
1.078451494502455e-02	2.848885e-01	2.059608e-01
1.078509979176319e-02	2.848885e-01	2.065231e-01
1.078568463850182e-02	2.848885e-01	2.070854e-01
1.078626948524046e-02	2.848885e-01	2.076478e-01
1.078685433197910e-02	2.848885e-01	2.082101e-01
1.078743917871774e-02	2.848885e-01	2.087725e-01
1.078802402545638e-02	2.848885e-01	2.093348e-01
1.078802522621531e-02	2.848885e-01	2.093360e-01
1.078802762773318e-02	2.848885e-01	2.093383e-01
1.078803243076890e-02	2.848885e-01	2.093429e-01
1.078803740026361e-02	2.848885e-01	2.093477e-01
1.078804272149483e-02	2.848885e-01	2.093528e-01
1.078804773600355e-02	2.848885e-01	2.093576e-01
1.078805247754782e-02	2.848885e-01	2.093621e-01
1.078805681637581e-02	2.848885e-01	2.093663e-01
1.078806103126180e-02	2.848885e-01	2.093704e-01
1.078806588011749e-02	2.848885e-01	2.093750e-01
1.078807094815994e-02	2.848885e-01	2.093799e-01
1.078807687989653e-02	2.848885e-01	2.093856e-01
1.078808344292406e-02	2.848885e-01	2.093919e-01
1.078808810035350e-02	2.848885e-01	2.093964e-01
1.078809440461631e-02	2.848885e-01	2.094025e-01
1.078810013175934e-02	2.848885e-01	2.094080e-01
1.078810984240501e-02	2.848885e-01	2.094173e-01
1.078812086705602e-02	2.848885e-01	2.094279e-01
1.078813794522670e-02	2.848885e-01	2.094443e-01
1.078815734876537e-02	2.848885e-01	2.094630e-01
1.078817639267914e-02	2.848885e-01	2.094813e-01
1.078819554982703e-02	2.848885e-01	2.094997e-01
1.078821613342067e-02	2.848885e-01	2.095195e-01
1.078823726348143e-02	2.848885e-01	2.095398e-01
1.078824775788136e-02	2.848885e-01	2.095499e-01
1.078825672740660e-02	2.848885e-01	2.095585e-01
1.078826670597102e-02	2.848885e-01	2.095681e-01
1.078827701478158e-02	2.848885e-01	2.095781e-01
1.078828819738793e-02	2.848885e-01	2.095888e-01
1.078829868558838e-02	2.848885e-01	2.095989e-01
